SITE_NAME_CLEANED,PERIOD_EUR
0459BB,6.48%
0459BR,47.95%
0459KO,103.65%
0460BB,12.81%
0460BR,49.73%
0460KO,5.36%
0461BB,19.57%
0461BR,7.05%
0461KO,6.95%
0462BB,5.9%
0462BR,14.71%
0462KO,5.21%
0463BB,19.73%
0463BR,18.47%
0463KO,10.32%
0464BB,17.24%
0464BR,76.13%
0464KO,6.25%
0465BB,8.29%
0465BR,21.05%
0465KO,16.16%
0466BB,16.79%
0466BR,35.18%
0466KO,15.08%
0467BB,12.4%
0467BR,11.52%
0467KO,8.36%
0468BR,24.55%
0468KO,20.01%
0469BB,10.11%
0469BR,17.95%
0470BB,11.82%
0470BR,44.38%
0471BB,8.08%
0471BR,17.11%
0472BB,nan%
0472BR,91.86%
0473BB,12.27%
0473BR,58.96%
0473KO,7.33%
0474BB,11.45%
0474BR,41.82%
0474KO,28.79%
0475BB,24.83%
0475BR,11.13%
0475KO,33.1%
0476BB,10.24%
0476BR,2.4%
0476KO,17.87%
0477BB,14.19%
0477BR,13.36%
0477KO,7.0%
0478BB,17.4%
0478BR,42.07%
0478KO,12.83%
0479BB,10.3%
0479BR,55.3%
0479KO,9.06%
0480BB,12.33%
0480BR,26.67%
0480KO,25.85%
0481BR,42.67%
0481KO,34.37%
0482BB,13.76%
0482BR,72.4%
0482KO,22.93%
0483BB,14.06%
0483BR,17.05%
0483KO,9.18%
0484BB,5.31%
0484BR,57.99%
0484KO,10.83%
0485BB,17.41%
0485BR,79.87%
0485KO,15.43%
0486BB,12.39%
0486BR,41.42%
0486KO,16.11%
0487BB,15.98%
0487BR,8.48%
0487KO,23.88%
0488BB,15.67%
0488BR,19.9%
0488KO,7.29%
0489BB,15.57%
0489BR,nan%
0489KO,20.5%
0490BB,15.43%
0490BR,43.1%
0491BB,11.46%
0491BR,44.02%
0492BB,0.67%
0492BR,62.68%
0492KO,88.99%
0493BB,4.86%
0493BR,67.78%
0493KO,87.91%
0494BB,8.92%
0494BR,59.53%
0494KO,14.41%
0495BB,7.4%
0495BR,8.81%
0495KO,17.3%
0496BB,18.68%
0496BR,42.37%
0497BB,31.08%
0497BR,5.3%
0497KO,2.06%
0498BB,11.37%
0498BR,15.24%
